dataset,repeat,n_calibration_identifiers,n_evaluation_identifiers,calibration_prevalence,evaluation_prevalence,intercept_shift,brier_null_calibration_prevalence,brier_model_uncalibrated,brier_skill_uncalibrated,brier_model_intercept_recalibrated,brier_skill_intercept_recalibrated
mimic_temporal_test,31,1530,6123,0.008359387855849927,0.008121785976654966,-1.1745511830625113,0.008055879023857375,0.009473036092576282,-0.17591588261467384,0.008009721528095,0.005729665952738494
mimic_temporal_test,32,1530,6123,0.007268847320862926,0.008388661068801666,-1.3025426604902846,0.008319545417104507,0.009742051555416685,-0.17098363756601254,0.008247508549259078,0.008658750476597588
mimic_temporal_test,33,1530,6123,0.007970894658508351,0.008217837925974237,-1.216321855040183,0.008150366046774004,0.009682276721171406,-0.18795605812130933,0.008150989645222956,-7.651171068556728e-05
mimic_temporal_test,34,1530,6123,0.00912928241876902,0.00792911210293132,-1.1785681128746357,0.007867681692977486,0.009109037541760923,-0.15777911425819924,0.007777973928151554,0.011402058233494938
mimic_temporal_test,35,1530,6123,0.008034751935199399,0.008202620258754642,-1.2266489990840752,0.008135365459419362,0.009595790270387657,-0.17951557533010054,0.008105921016246652,0.003619314131563578
mimic_temporal_test,36,1530,6123,0.008106387967708437,0.00818419726597422,-1.1985833625984326,0.008117222235372739,0.009592753595292146,-0.18177786897214987,0.008115731642619244,0.00018363335513960077
mimic_temporal_test,37,1530,6123,0.008621524750557009,0.0080540655807621,-1.08359472755332,0.007989519618292272,0.009457677576293167,-0.18376047974642917,0.007998688996533377,-0.0011476757901829338
mimic_temporal_test,38,1530,6123,0.008061862454754853,0.008195583853720257,-1.1876883510793552,0.008128434140429436,0.009607453375246988,-0.18195623034714203,0.008112737463526577,0.0019310824977699648
mimic_temporal_test,39,1530,6123,0.007764179497302277,0.008269455260859272,-1.1866146307328345,0.008201326674145155,0.009777012412002645,-0.1921257133708465,0.008210151988622847,-0.0010760837640468868
mimic_temporal_test,40,1530,6123,0.007812242476184198,0.008257314903963838,-1.1395655048862068,0.008189329744006582,0.009748860872373677,-0.1904345260377931,0.00820301904993365,-0.001671602726350807
mimic_temporal_test,41,1530,6123,0.007938794455648388,0.008228118629578484,-1.1825716132529425,0.008160500401873686,0.009652564692093787,-0.18283980353429263,0.008144971073387634,0.0019029872828003613
mimic_temporal_test,42,1530,6123,0.0077769100611740204,0.008267642412186997,-1.2533898964099173,0.008199529319371538,0.009577154759402242,-0.16801274638728803,0.00812709962643525,0.008833396420105721
mimic_temporal_test,43,1530,6123,0.007385236034746397,0.00836621424712258,-1.2978608650746033,0.00829718302454698,0.009696973282981265,-0.1687066868710796,0.008211922286987076,0.01027586559289606
mimic_temporal_test,44,1530,6123,0.008296065850022684,0.00813687652105509,-1.1214636969527376,0.00807069310277865,0.00966890506333545,-0.19802660567114772,0.008141710387345001,-0.008799403429415653
mimic_temporal_test,45,1530,6123,0.008091197955907885,0.008188415271966527,-1.175134758353088,0.008121374578506892,0.009606546612404513,-0.18287200270605775,0.008105267763807582,0.0019832621366753234
mimic_temporal_test,46,1530,6123,0.009098049482916612,0.007936962048079517,-1.0704243245036462,0.007875314805558201,0.009382539285554208,-0.19138593404954984,0.00792317571335858,-0.006077332650448408
mimic_temporal_test,47,1530,6123,0.00846146248312646,0.008096505117448295,-1.1969655153292118,0.008031084916210188,0.00949442428328314,-0.18220942529437112,0.008029532214629372,0.00019333646661889858
mimic_temporal_test,48,1530,6123,0.008293450468760243,0.008137986256934855,-1.1821208441286593,0.008071783605737952,0.009489118965985708,-0.17559134752326866,0.008041456001527433,0.0037572370236684804
mimic_temporal_test,49,1530,6123,0.007189351986787137,0.00841692892735379,-1.3803092275380815,0.00834759117993068,0.009698850877654965,-0.1618742064145391,0.008264107592030974,0.010000919558736499
mimic_temporal_test,50,1530,6123,0.007881136950904392,0.00824209619879444,-1.2400268425955439,0.008174294340622897,0.009585434179878276,-0.17263139550072126,0.008120073903618165,0.006633041917181615
mimic_temporal_test,51,1530,6123,0.007778593843893971,0.0082641266949187,-1.2095262776372242,0.008196066647038456,0.009755514115756318,-0.1902677876931793,0.00822070767935034,-0.0030064460640748525
