dataset,repeat,calibration_method,fitted_intercept,fitted_slope,calibration_prevalence,brier,brier_skill
mimic_temporal_test,53,intercept_only,-1.1858910968116458,1.0,0.008351947169078373,0.00801415819889553,0.005287592788083217
mimic_temporal_test,53,intercept_and_slope,-1.9169984042189006,0.7449353386309551,0.008351947169078373,0.007893035595227995,0.02032125617128344
mimic_temporal_test,54,uncalibrated,0.0,1.0,0.008641160949868073,0.009322435353794888,-0.16709566926264574
mimic_temporal_test,54,intercept_only,-1.1431042819391715,1.0,0.008641160949868073,0.007922335851429199,0.008185789254801512
mimic_temporal_test,54,intercept_and_slope,-2.158604652557917,0.6552543071688312,0.008641160949868073,0.007815780152255754,0.0215257256899688
mimic_temporal_test,55,uncalibrated,0.0,1.0,0.009171263374759089,0.009351464201596993,-0.18942603937924019
mimic_temporal_test,55,intercept_only,-1.028597339285164,1.0,0.009171263374759089,0.00791277041219555,-0.0064365289756143085
mimic_temporal_test,55,intercept_and_slope,-1.9255671278449442,0.6996766061497709,0.009171263374759089,0.007711584349956994,0.0191526125778384
mimic_temporal_test,56,uncalibrated,0.0,1.0,0.007280375343795502,0.009768033488974218,-0.17335008491219006
mimic_temporal_test,56,intercept_only,-1.2892569563520146,1.0,0.007280375343795502,0.008260058218545923,0.007790050776301682
mimic_temporal_test,56,intercept_and_slope,-2.2113160702228214,0.6872838458654402,0.007280375343795502,0.008162695648449805,0.019485381266159174
mimic_temporal_test,57,uncalibrated,0.0,1.0,0.008153399935546245,0.009576118223712907,-0.18133534150949737
mimic_temporal_test,57,intercept_only,-1.162298098581835,1.0,0.008153399935546245,0.008102894209911254,0.0004054800641926093
mimic_temporal_test,57,intercept_and_slope,-2.055182681585171,0.6958975917657033,0.008153399935546245,0.007956387200183667,0.018478973344747573
mimic_temporal_test,58,uncalibrated,0.0,1.0,0.007955956896841115,0.009574856878254559,-0.17438952110654093
mimic_temporal_test,58,intercept_only,-1.2050335879517973,1.0,0.007955956896841115,0.008110434303007917,0.005227004624235532
mimic_temporal_test,58,intercept_and_slope,-2.179931384611474,0.6698431484512362,0.007955956896841115,0.007994943924769779,0.019392301475777085
mimic_temporal_test,59,uncalibrated,0.0,1.0,0.00800182898948331,0.009653359207276785,-0.1854079966285056
mimic_temporal_test,59,intercept_only,-1.2003535399050895,1.0,0.00800182898948331,0.008129150236983023,0.001760994302354657
mimic_temporal_test,59,intercept_and_slope,-1.8594230992602372,0.7689900388525098,0.00800182898948331,0.00799676628222686,0.01801740776669225
mimic_temporal_test,60,uncalibrated,0.0,1.0,0.008634557930332578,0.009509181520165673,-0.19033332953691584
mimic_temporal_test,60,intercept_only,-1.1377463866711415,1.0,0.008634557930332578,0.008021229534269918,-0.004075570358973213
mimic_temporal_test,60,intercept_and_slope,-2.0314959931793353,0.6966653126711551,0.008634557930332578,0.007845092769075855,0.017972748071240052
mimic_temporal_test,61,uncalibrated,0.0,1.0,0.007677480479597504,0.009657592827529074,-0.17436724389728253
mimic_temporal_test,61,intercept_only,-1.3221548200326032,1.0,0.007677480479597504,0.008165330822655909,0.007092427175214522
